SRN,frame#,ID,Class,X_min,Y_min,X_max,Y_max,Time,Speed
373,52,9,Car,483,281,604,365,1.7333,7.74
374,52,11,Car,699,480,967,728,1.7333,31.44
375,53,1,Car,1524,751,1889,1048,1.7667,8.16
376,53,2,Car,348,251,487,359,1.7667,13.36
377,53,3,Car,1126,393,1364,607,1.7667,37.79
378,53,4,Car,593,368,835,572,1.7667,8.85
379,53,6,Car,832,628,1158,909,1.7667,38.45
380,53,9,Car,485,282,608,367,1.7667,9.79
381,53,11,Car,709,486,978,736,1.7667,43.49
382,54,1,Car,1523,759,1904,1069,1.8,29.99
383,54,2,Car,348,250,490,360,1.8,2.67
384,54,3,Car,1129,394,1374,614,1.8,11.97
385,54,4,Car,594,368,843,579,1.8,6.49
386,54,6,Car,839,639,1156,914,1.8,45.78
387,54,9,Car,485,281,611,368,1.8,2.5
388,54,11,Car,717,491,990,747,1.8,34.15
389,55,1,Car,1523,763,1911,1079,1.8333,14.37
390,55,2,Car,348,250,491,360,1.8333,2.53
391,55,3,Car,1130,392,1382,622,1.8333,5.21
392,55,4,Car,596,368,848,584,1.8333,7.18
393,55,6,Car,843,646,1155,918,1.8333,29.57
394,55,9,Car,486,281,614,368,1.8333,3.75
395,55,11,Car,718,490,999,756,1.8333,4.79
396,56,1,Car,1532,771,1913,1083,1.8667,43.52
397,56,2,Car,350,251,491,360,1.8667,11.73
398,56,3,Car,1133,391,1395,632,1.8667,10.69
399,56,4,Car,597,368,853,587,1.8667,5.62
400,56,6,Car,846,649,1164,930,1.8667,17.67
401,56,9,Car,487,279,617,368,1.8667,7.46
402,56,11,Car,721,494,1005,766,1.8667,20.27
403,57,1,Car,1541,781,1912,1084,1.9,48.07
404,57,2,Car,353,251,494,361,1.9,11.63
405,57,3,Car,1133,390,1405,643,1.9,4.55
406,57,4,Car,599,367,857,590,1.9,9.27
407,57,6,Car,846,651,1178,945,1.9,8.23
408,57,9,Car,490,278,622,369,1.9,11.0
409,57,11,Car,726,502,1009,773,1.9,35.43
410,58,1,Car,1547,788,1909,1084,1.9333,36.2
411,58,2,Car,355,252,496,361,1.9333,9.54
412,58,3,Car,1136,390,1410,648,1.9333,11.77
413,58,4,Car,601,367,860,593,1.9333,8.02
414,58,6,Car,851,656,1179,952,1.9333,27.21
415,58,9,Car,491,277,624,369,1.9333,5.28
416,58,11,Car,732,507,1009,775,1.9333,28.56
417,59,1,Car,1562,802,1906,1083,1.9667,74.3
418,59,2,Car,356,251,498,360,1.9667,5.0
419,59,3,Car,1144,397,1413,653,1.9667,38.0
420,59,4,Car,601,367,864,598,1.9667,2.01
421,59,6,Car,854,661,1183,962,1.9667,24.47
422,59,9,Car,492,276,625,370,1.9667,5.66
423,59,11,Car,744,522,1008,776,1.9667,67.09
424,60,1,Car,1574,814,1902,1081,2.0,63.55
425,60,2,Car,359,250,503,360,2.0,12.77
426,60,3,Car,1152,405,1417,656,2.0,42.83
427,60,4,Car,601,370,863,602,2.0,13.95
428,60,6,Car,862,677,1181,968,2.0,65.8
429,60,9,Car,494,276,627,370,2.0,9.41
430,60,11,Car,755,526,1024,786,2.0,42.65
431,61,1,Car,1591,829,1895,1075,2.0333,83.33
432,61,2,Car,361,250,506,360,2.0333,8.23
433,61,3,Car,1157,411,1418,657,2.0333,31.58
434,61,4,Car,603,372,865,606,2.0333,12.22
435,61,6,Car,862,687,1185,983,2.0333,35.78
436,61,9,Car,497,276,628,369,2.0333,12.63
437,61,11,Car,763,540,1025,794,2.0333,59.28
438,62,1,Car,1604,841,1894,1073,2.0667,63.06
439,62,2,Car,363,249,509,361,2.0667,7.18
440,62,3,Car,1164,417,1423,660,2.0667,35.95
441,62,4,Car,618,383,864,600,2.0667,68.3
442,62,6,Car,874,693,1196,992,2.0667,49.25
443,62,9,Car,500,275,629,367,2.0667,13.85
444,62,11,Car,771,552,1028,800,2.0667,53.03
445,63,1,Car,1614,851,1894,1073,2.1,51.92
446,63,2,Car,364,249,512,363,2.1,4.89
447,63,3,Car,1174,424,1431,665,2.1,46.71
448,63,4,Car,626,390,864,599,2.1,40.57
449,63,6,Car,885,706,1197,998,2.1,60.91
450,63,9,Car,503,275,632,367,2.1,10.48
